id,project,title,description,categories,logo,file_name,origin_format,origin_url,swaggerYamlUrl,swaggerYamlUrl,import_id,swaggerUrl
345122,ably.io:platform,Platform API,The [REST API specification](https://www.ably.io/documentation/rest-api) for Ably.,cloud,https://api.apis.guru/v2/cache/logo/https_twitter.com_ablyrealtime_profile_image,https_twitter.com_ablyrealtime_profile_image,openapi,https://raw.githubusercontent.com/ably/open-specs/main/definitions/platform-v1.yaml,https://api.apis.guru/v2/specs/ably.io/platform/1.1.0/openapi.yaml,https://api.apis.guru/v2/specs/ably.io/platform/1.1.0/openapi.yaml,345268,/ably.io/platform/1.1.0/openapi.json
345123,amazonaws.com:cloud9,AWS Cloud9," Cloud9 is a collection of tools that you can use to code, build, run, test, debug, and release software in the cloud. For more information about Cloud9, see the <a href=""https://docs.aws.amazon.com/cloud9/latest/user-guide"">Cloud9 User Guide. Cloud9 supports these operations:    <code>CreateEnvironmentEC2</code>: Creates an Cloud9 development environment, launches an Amazon EC2 instance, and then connects from the instance to the environment.    <code>CreateEnvironmentMembership</code>: Adds an environment member to an environment.    <code>DeleteEnvironment</code>: Deletes an environment. If an Amazon EC2 instance is connected to the environment, also terminates the instance.    <code>DeleteEnvironmentMembership</code>: Deletes an environment member from an environment.    <code>DescribeEnvironmentMemberships</code>: Gets information about environment members for an environment.    <code>DescribeEnvironments</code>: Gets information about environments.    <code>DescribeEnvironmentStatus</code>: Gets status information for an environment.    <code>ListEnvironments</code>: Gets a list of environment identifiers.    <code>ListTagsForResource</code>: Gets the tags for an environment.    <code>TagResource</code>: Adds tags to an environment.    <code>UntagResource</code>: Removes tags from an environment.    <code>UpdateEnvironment</code>: Changes the settings of an existing environment.    <code>UpdateEnvironmentMembership</code>: Changes the settings of an existing environment member for an environment.  ",cloud,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,https_twitter.com_awscloud_profile_image.png,,https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/cloud9-2017-09-23.normal.json,https://api.apis.guru/v2/specs/amazonaws.com/cloud9/2017-09-23/openapi.yaml,https://api.apis.guru/v2/specs/amazonaws.com/cloud9/2017-09-23/openapi.yaml,345269,/amazonaws.com/cloud9/2017-09-23/openapi.json
345124,amazonaws.com:application-insights,Amazon CloudWatch Application Insights,"  Amazon CloudWatch Application Insights is a service that helps you detect common problems with your applications. It enables you to pinpoint the source of issues in your applications (built with technologies such as Microsoft IIS, .NET, and Microsoft SQL Server), by providing key insights into detected problems. After you onboard your application, CloudWatch Application Insights identifies, recommends, and sets up metrics and logs. It continuously analyzes and correlates your metrics and logs for unusual behavior to surface actionable problems with your application. For example, if your application is slow and unresponsive and leading to HTTP 500 errors in your Application Load Balancer (ALB), Application Insights informs you that a memory pressure problem with your SQL Server database is occurring. It bases this analysis on impactful metrics and log errors. ",cloud,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,https_twitter.com_awscloud_profile_image.png,,https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/application-insights-2018-11-25.normal.json,https://api.apis.guru/v2/specs/amazonaws.com/application-insights/2018-11-25/openapi.yaml,https://api.apis.guru/v2/specs/amazonaws.com/application-insights/2018-11-25/openapi.yaml,345270,/amazonaws.com/application-insights/2018-11-25/openapi.json
345125,amazonaws.com:ecs,Amazon EC2 Container Service," Amazon Elastic Container Service (Amazon ECS) is a highly scalable, fast, container management service that makes it easy to run, stop, and manage Docker containers on a cluster. You can host your cluster on a serverless infrastructure that is managed by Amazon ECS by launching your services or tasks on Fargate. For more control, you can host your tasks on a cluster of Amazon Elastic Compute Cloud (Amazon EC2) instances that you manage. Amazon ECS makes it easy to launch and stop container-based applications with simple API calls, allows you to get the state of your cluster from a centralized service, and gives you access to many familiar Amazon EC2 features. You can use Amazon ECS to schedule the placement of containers across your cluster based on your resource needs, isolation policies, and availability requirements. Amazon ECS eliminates the need for you to operate your own cluster management and configuration management systems or worry about scaling your management infrastructure.",cloud,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,https_twitter.com_awscloud_profile_image.png,,https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/ecs-2014-11-13.normal.json,https://api.apis.guru/v2/specs/amazonaws.com/ecs/2014-11-13/openapi.yaml,https://api.apis.guru/v2/specs/amazonaws.com/ecs/2014-11-13/openapi.yaml,345271,/amazonaws.com/ecs/2014-11-13/openapi.json
345126,amazonaws.com:ecr,Amazon EC2 Container Registry," Amazon Elastic Container Registry (Amazon ECR) is a managed container image registry service. Customers can use the familiar Docker CLI, or their preferred client, to push, pull, and manage images. Amazon ECR provides a secure, scalable, and reliable registry for your Docker or Open Container Initiative (OCI) images. Amazon ECR supports private repositories with resource-based permissions using IAM so that specific users or Amazon EC2 instances can access repositories and images. Amazon ECR has service endpoints in each supported Region. For more information, see <a href=""https://docs.aws.amazon.com/general/latest/gr/ecr.html"">Amazon ECR endpoints in the <i>Amazon Web Services General Reference</i>.",cloud,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,https_twitter.com_awscloud_profile_image.png,,https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/ecr-2015-09-21.normal.json,https://api.apis.guru/v2/specs/amazonaws.com/ecr/2015-09-21/openapi.yaml,https://api.apis.guru/v2/specs/amazonaws.com/ecr/2015-09-21/openapi.yaml,345272,/amazonaws.com/ecr/2015-09-21/openapi.json
345127,amazonaws.com:dms,AWS Database Migration Service," Database Migration Service (DMS) can migrate your data to and from the most widely used commercial and open-source databases such as Oracle, PostgreSQL, Microsoft SQL Server, Amazon Redshift, MariaDB, Amazon Aurora, MySQL, and SAP Adaptive Server Enterprise (ASE). The service supports homogeneous migrations such as Oracle to Oracle, as well as heterogeneous migrations between different database platforms, such as Oracle to MySQL or SQL Server to PostgreSQL. For more information about DMS, see <a href=""https://docs.aws.amazon.com/dms/latest/userguide/Welcome.html"">What Is Database Migration Service? in the <i>Database Migration Service User Guide.</i> ",cloud,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,https_twitter.com_awscloud_profile_image.png,,https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/dms-2016-01-01.normal.json,https://api.apis.guru/v2/specs/amazonaws.com/dms/2016-01-01/openapi.yaml,https://api.apis.guru/v2/specs/amazonaws.com/dms/2016-01-01/openapi.yaml,345273,/amazonaws.com/dms/2016-01-01/openapi.json
345128,amazonaws.com:cloudfront,Amazon CloudFront," This is the <i>Amazon CloudFront API Reference</i>. This guide is for developers who need detailed information about CloudFront API actions, data types, and errors. For detailed information about CloudFront features, see the <i>Amazon CloudFront Developer Guide</i>.",cloud,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,https_twitter.com_awscloud_profile_image.png,,https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/cloudfront-2020-05-31.normal.json,https://api.apis.guru/v2/specs/amazonaws.com/cloudfront/2020-05-31/openapi.yaml,https://api.apis.guru/v2/specs/amazonaws.com/cloudfront/2020-05-31/openapi.yaml,345274,/amazonaws.com/cloudfront/2020-05-31/openapi.json
345129,amazonaws.com:appsync,AWS AppSync,AppSync provides API actions for creating and interacting with data sources using GraphQL from your application.,cloud,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,https_twitter.com_awscloud_profile_image.png,,https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/appsync-2017-07-25.normal.json,https://api.apis.guru/v2/specs/amazonaws.com/appsync/2017-07-25/openapi.yaml,https://api.apis.guru/v2/specs/amazonaws.com/appsync/2017-07-25/openapi.yaml,345275,/amazonaws.com/appsync/2017-07-25/openapi.json
345130,amazonaws.com:cloudhsmv2,AWS CloudHSM V2,"For more information about AWS CloudHSM, see <a href=""http://aws.amazon.com/cloudhsm/"">AWS CloudHSM and the <a href=""https://docs.aws.amazon.com/cloudhsm/latest/userguide/"">AWS CloudHSM User Guide.",cloud,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png,https_twitter.com_awscloud_profile_image.png,,https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/cloudhsmv2-2017-04-28.normal.json,https://api.apis.guru/v2/specs/amazonaws.com/cloudhsmv2/2017-04-28/openapi.yaml,https://api.apis.guru/v2/specs/amazonaws.com/cloudhsmv2/2017-04-28/openapi.yaml,345276,/amazonaws.com/cloudhsmv2/2017-04-28/openapi.json
345131,adyen.com:CheckoutUtilityService,Adyen Checkout Utility Service,"A web service containing utility functions available for merchants integrating with Checkout APIs.## AuthenticationEach request to the Checkout Utility API must be signed with an API key. For this, obtain an API Key from your Customer Area, as described in [How to get the Checkout API key](https://docs.adyen.com/developers/user-management/how-to-get-the-checkout-api-key). Then set this key to the `X-API-Key` header value, for example:```curl-H ""Content-Type: application/json"" \-H ""X-API-Key: Your_Checkout_API_key"" \...```Note that when going live, you need to generate a new API Key to access the [live endpoints](https://docs.adyen.com/developers/api-reference/live-endpoints).## VersioningCheckout API supports versioning of its endpoints through a version suffix in the endpoint URL. This suffix has the following format: ""vXX"", where XX is the version number.For example:```https://checkout-test.adyen.com/v1/originKeys```",payment,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image.jpeg,https_twitter.com_Adyen_profile_image.jpeg,openapi,https://raw.githubusercontent.com/adyen/adyen-openapi/master/specs/3.0/CheckoutUtilityService-v1.json,https://api.apis.guru/v2/specs/adyen.com/CheckoutUtilityService/1/openapi.yaml,https://api.apis.guru/v2/specs/adyen.com/CheckoutUtilityService/1/openapi.yaml,345277,/adyen.com/CheckoutUtilityService/1/openapi.json
